time/fps,time/total_timesteps,time/time_elapsed,rollout/episodes,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,rollout/win_rate_true_start,train/value_loss,train/n_updates,rollout/fill_mean,train/clip_range,train/explained_variance,rollout/ep_rew_mean,train/loss,train/approx_kl,rollout/success_rate,rollout/ep_len_mean,rollout/fill_mean_true_start,train/clip_fraction,eval/mean_reward,eval/success_rate,eval/mean_ep_length
45374,32768,0,0,1,,,,,,,,,,,,,,,,,,,
36184,65536,1,33,2,-1.2298590205609798,-0.008514858505805023,0.000298099456,0.15151515151515152,0.5981473941355944,4,0.759469696969697,0.19901696,-0.03566265106201172,11.762028694152832,0.23298749327659607,0.004750251,0.15151515151515152,57.15151515151515,0.759469696969697,0.01049041748046875,,,
37436,98304,2,392,3,-1.0303076170384884,-0.013458143221214414,0.000296198912,0.2193877551020408,1.1352169942110777,8,0.7758290816326531,0.19803392,0.0018221735954284668,12.857209205627441,0.47307562828063965,0.007482118,0.17,93.79,0.7758290816326531,0.03376007080078125,,,
38048,131072,3,562,4,-0.8685530107468367,-0.008851662099914392,0.00029429836799999996,0.30071174377224197,3.94307604432106,12,0.8554270462633452,0.19705088,-0.01633894443511963,15.143428802490234,1.7189888954162598,0.008036027,0.31,107.57,0.8554270462633452,0.050537109375,,,
38533,163840,4,515,5,-0.8836037330329418,-0.005467176597448997,0.00029239782399999997,0.2815533980582524,5.832688242197037,16,0.8569174757281554,0.19606784000000002,0.01765066385269165,16.045656204223633,2.5212085247039795,0.004620187,0.36,65.34,0.8569174757281554,0.010894775390625,,,
38864,196608,5,672,6,-0.8098919801414013,-0.0067508312640711665,0.00029049728,0.3273809523809524,5.736965894699097,20,0.8733258928571429,0.1950848,-0.038764119148254395,15.864145278930664,2.607980251312256,0.0064091356,0.35,56.85,0.8733258928571429,0.0311279296875,,,
39131,229376,5,750,7,-0.7509832438081503,-0.005204303910431918,0.000288596736,0.3293333333333333,6.741031587123871,24,0.87075,0.19410176,0.03934216499328613,15.454316139221191,3.1955575942993164,0.0055075064,0.32,46.68,0.87075,0.0245208740234375,,,
39159,262144,6,801,8,-0.6815477143973112,-0.0032061211713880766,0.00028669619199999996,0.3408239700374532,7.493798851966858,28,0.8790574282147315,0.19311872000000002,0.13663989305496216,16.390687942504883,3.4556126594543457,0.0046379413,0.38,40.31,0.8790574282147315,0.0247955322265625,,,
39032,294912,7,855,9,-0.6369648762047291,-0.0023605246242368594,0.00028479564799999997,0.39766081871345027,7.56130188703537,32,0.8945175438596491,0.19213568000000003,0.2452094554901123,16.683006286621094,3.8212900161743164,0.0030362937,0.4,37.99,0.8945175438596491,0.0226287841796875,,,
,327680,,,,-0.5902354549616575,-0.0021221061106189154,0.000282895104,,8.041379109025002,36,,0.19115264,0.27194708585739136,,3.9957985877990723,0.0024653836,,,,0.01163482666015625,17.00164794921875,0.41,29.35
