curriculum/frontier,time/fps,rollout/episodes,curriculum/success_rate,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_range,train/approx_kl,rollout/ep_len_mean,train/learning_rate,rollout/fill_mean,rollout/success_rate,train/loss,train/value_loss,rollout/win_rate_true_start,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,rollout/ep_rew_mean,train/n_updates,rollout/fill_mean_true_start,train/entropy_loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate
15,40835,0,nan,1,0,32768,,,,,,,,,,,,,,,,,,,
15,32735,37,nan,2,2,65536,0.19901696,0.004750251,46.16216216216216,0.000298099456,0.785472972972973,0.24324324324324326,0.23298749327659607,0.5981473941355944,0.1,-0.03566265106201172,0.01049041748046875,-0.008514858505805023,10.846728324890137,4,0.7416666666666667,-1.2298590205609798,,,
14,33441,658,0.6259259259259259,3,2,98304,0.19803392,0.0077278987,44.76,0.000296198912,0.8446998480243161,0.44,0.44543904066085815,1.1351983733475208,0.19746835443037974,0.005530655384063721,0.03507232666015625,-0.013488804281223565,10.526240348815918,8,0.7844936708860759,-1.027474943548441,,,
13,33753,1302,0.4662420382165605,4,3,131072,0.19705088,0.006425107,41.97,0.00029429836799999996,0.8939612135176651,0.43,2.4176228046417236,5.344203308224678,0.32495164410058025,-0.013943910598754883,0.02771759033203125,-0.007185822687461041,10.369029998779297,12,0.8685928433268859,-0.7949616350233555,,,
12,34086,1182,0.44537815126050423,5,4,163840,0.19606784000000002,0.0041440134,31.29,0.00029239782399999997,0.8974725042301185,0.38,4.764406681060791,10.14949044585228,0.2782608695652174,0.02929288148880005,0.015289306640625,-0.004787185072927969,9.609709739685059,16,0.8589673913043478,-0.7133567556738853,,,
11,34367,1172,0.4579976985040276,6,5,196608,0.1950848,0.004653049,31.99,0.00029049728,0.8963310580204779,0.42,4.790538787841797,9.92778018116951,0.31353135313531355,-0.01038515567779541,0.02187347412109375,-0.005026317659940105,11.359009742736816,20,0.8727310231023102,-0.706233462318778,,,
10,34579,1146,0.40022935779816515,7,6,229376,0.19410176,0.0042206077,27.86,0.000288596736,0.8908158813263525,0.41,5.003838539123535,10.27004787325859,0.35036496350364965,-0.010501384735107422,0.02124786376953125,-0.004181688775133807,11.8431396484375,24,0.874771897810219,-0.6552992444485426,,,
9,34765,1141,0.42565266742338254,8,7,262144,0.19311872000000002,0.0045355223,28.64,0.00028669619199999996,0.8981156879929886,0.4,4.893997669219971,10.370010316371918,0.40384615384615385,0.01669985055923462,0.02313995361328125,-0.0035427093898761086,12.242358207702637,28,0.8860576923076923,-0.6243359632790089,,,
8,34935,1088,0.4277251184834123,9,8,294912,0.19213568000000003,0.002795279,30.41,0.00028479564799999997,0.9001608455882353,0.37,5.056352615356445,10.229094356298447,0.4057377049180328,0.1067308783531189,0.01430511474609375,-0.0026722827315097675,13.010589599609375,32,0.8957479508196722,-0.5902904719114304,,,
,,,,,,327680,0.19115264,0.0034225993,,0.000282895104,,,5.012488842010498,10.033269047737122,,0.1697007417678833,0.0174713134765625,-0.0026198487175861374,,36,,-0.5709617789834738,28.8,17.51219940185547,0.46
7,33820,1003,0.4502840909090909,10,9,327680,,,32.69,,0.903227816550349,0.49,,,0.4080267558528428,,,,15.428308486938477,,0.8954849498327759,,,,
6,34027,1011,0.4971671388101983,11,10,360448,0.1901696,0.0031329687,31.72,0.00028099455999999994,0.9108555885262116,0.5,4.625879287719727,9.286475449800491,0.4852459016393443,0.2208179235458374,0.01647186279296875,-0.0024772784163360484,15.379281044006348,40,0.9055327868852459,-0.5504618920385838,,,
5,34261,1005,0.49572649572649574,12,11,393216,0.18918656,0.003141,33.11,0.00027909401599999996,0.9135572139303483,0.55,4.591592311859131,9.19486591219902,0.4521452145214521,0.2153143286705017,0.01847076416015625,-0.002172689222788904,16.69788932800293,44,0.9073844884488449,-0.5278191398829222,,,
4,34556,964,0.5256410256410257,13,12,425984,0.18820352,0.0035039047,33.89,0.00027719347199999997,0.9214859958506224,0.54,4.741119384765625,9.199304282665253,0.5029411764705882,0.25293099880218506,0.02178955078125,-0.0022035954316379502,17.1671085357666,48,0.9174632352941177,-0.5103214997798204,,,
3,34768,944,0.4878048780487805,14,13,458752,0.18722048000000002,0.0020532028,34.57,0.000275292928,0.912936970338983,0.46,4.060698986053467,8.670805990695953,0.46756756756756757,0.26849788427352905,0.0145263671875,-0.0013057003743597306,16.226428985595703,52,0.9081081081081082,-0.49311004765331745,,,
2,35018,950,0.4972375690607735,15,14,491520,0.18623744,0.003459481,34.93,0.000273392384,0.9151973684210526,0.52,4.36047887802124,8.78796049952507,0.48157248157248156,0.3091415762901306,0.02899169921875,-0.001983970694709569,17.41606903076172,56,0.9123157248157249,-0.4876255113631487,,,
1,35097,896,0.5632911392405063,16,14,524288,0.1852544,0.0048933793,36.9,0.00027149184,0.9317103794642857,0.62,4.3903303146362305,8.611463874578476,0.566350710900474,0.33313268423080444,0.037353515625,-0.002205396824138006,18.9540958404541,60,0.933797393364929,-0.48402186296880245,,,
1,35406,865,0.5797101449275363,17,15,557056,0.18427136,0.0041042566,37.88,0.00026959129599999997,0.9277456647398844,0.64,3.923833131790161,8.039362072944641,0.5461538461538461,0.321835458278656,0.0270843505859375,-0.0009406483404745813,19.833114624023438,64,0.9224759615384616,-0.46362132485955954,,,
1,35761,837,0.6215139442231076,18,16,589824,0.18328832,0.0038616066,38.07,0.000267690752,0.9369772998805257,0.64,3.9857542514801025,7.9374444633722305,0.589058524173028,0.34661608934402466,0.029449462890625,-0.0018342749353905674,20.08292579650879,68,0.9353530534351145,-0.45580064970999956,,,
1,36051,880,0.625,19,17,622592,0.18230528000000001,0.0020044898,37.73,0.000265790208,0.9390625,0.57,3.6665098667144775,7.097921475768089,0.5772727272727273,0.34213632345199585,0.0147857666015625,-0.0011362289660610259,19.163267135620117,72,0.9390625,-0.4438144136220217,,,
,,,,,,655360,0.18132224,0.0035367294,,0.00026388966399999996,,,3.854567050933838,7.546972021460533,,0.3599807024002075,0.030181884765625,-0.001505969194113277,,76,,-0.42861306481063366,34.45,20.516525268554688,0.66
1,35376,887,0.625,20,18,655360,,,38.83,,0.9378523111612176,0.64,,,0.5918827508455468,,,,20.16216468811035,,0.9378523111612176,,,,
