time/iterations,time/total_timesteps,time/fps,rollout/episodes,time/time_elapsed,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/loss,train/explained_variance,train/entropy_loss,train/clip_range,train/approx_kl,rollout/ep_rew_mean,rollout/fill_mean,rollout/ep_len_mean,rollout/success_rate,rollout/win_rate_true_start,rollout/fill_mean_true_start,eval/success_rate,eval/mean_ep_length,eval/mean_reward
1,131072,102535,0,1,,,,,,,,,,,,,,,,,,,
2,262144,68024,0,3,4,0.08296063099987805,-0.0038041981806600234,0.002994537353515625,0.00029873297066666663,0.015164989978075027,-0.16722393035888672,-1.636842980980873,0.19934464000000002,0.0030631875,,,,,,,,,
3,393216,63659,0,6,8,0.11941625305917114,-0.011492914862174075,0.06412315368652344,0.00029746594133333334,0.02028203383088112,0.051043033599853516,-1.5473285000771284,0.19868928000000002,0.009693122,,,,,,,,,
4,524288,61875,2,8,12,0.2006061978172511,-0.019079862024227623,0.16900062561035156,0.000296198912,0.05677125230431557,0.03507685661315918,-1.454897940158844,0.19803392,0.011576953,8.757991790771484,0.13580246913580246,243.0,0.0,0.0,0.13580246913580246,,,
5,655360,61013,11,10,16,0.28176878625527024,-0.02047324889645097,0.20153236389160156,0.00029493188266666666,0.09659667313098907,0.043281495571136475,-1.3551501519978046,0.19737856,0.012969516,10.102834701538086,0.15600448933782265,282.7692307692308,0.0,0.0,0.15600448933782265,,,
6,786432,59192,57,13,20,0.3901050006970763,-0.019937203913286794,0.2085590362548828,0.0002936648533333333,0.14234773814678192,0.10425138473510742,-1.2466776687651873,0.19672320000000001,0.015135946,11.958857536315918,0.18171973142733375,342.1142857142857,0.0,0.0,0.18171973142733375,,,
7,917504,58840,159,15,24,0.5136989480815828,-0.017456854506235686,0.1952075958251953,0.00029239782399999997,0.2032773345708847,0.18337750434875488,-1.1331375781446695,0.19606784000000002,0.017025433,18.040342330932617,0.24186660455004272,430.64,0.0,0.0,0.24186660455004272,,,
8,1048576,58147,346,18,28,0.691778720356524,-0.014694414812765899,0.16326904296875,0.00029113079466666663,0.27861112356185913,0.2881001830101013,-1.0137120122089982,0.19541248,0.018297412,25.461109161376953,0.3168486405480625,499.91,0.0,0.0,0.3168486405480625,,,
9,1179648,57834,566,20,32,0.9314004881307483,-0.008094729089862085,0.10799026489257812,0.0002898637653333333,0.39255061745643616,0.4543447494506836,-0.9140402767807245,0.19475712,0.01332657,32.420448303222656,0.40138725297735894,530.6,0.0,0.0,0.40138725297735894,,,
,1310720,,,,36,1.2163622118532658,-0.006519325186673086,0.09606552124023438,0.000288596736,0.5391252040863037,0.5865281820297241,-0.8087136158719659,0.19410176,0.012881191,,,,,,,0.0,184.59,42.94646072387695
10,1310720,54367,675,24,,,,,,,,,,,36.75387954711914,0.4757018747142203,507.18,0.0,0.0,0.4757018747142203,,,
11,1441792,54389,565,26,40,1.3840580265969038,-0.004839459343202179,0.07118034362792969,0.00028732970666666666,0.6120833158493042,0.6873291730880737,-0.743381230160594,0.19344640000000002,0.0077901697,37.87791442871094,0.4958374303507047,403.15,0.0,0.0,0.4958374303507047,,,
12,1572864,54449,554,28,44,1.4294643569737673,-0.0026910822780337185,0.07956314086914062,0.0002860626773333333,0.6192792057991028,0.7198143005371094,-0.6950272815302014,0.19279104,0.0066539776,36.83427429199219,0.47267905691491735,236.78,0.0,0.0,0.47267905691491735,,,
13,1703936,54451,652,31,48,1.5868885312229395,-0.002393547161773313,0.0483245849609375,0.00028479564799999997,0.7076646685600281,0.7503024339675903,-0.6425842363387346,0.19213568000000003,0.004273571,38.461307525634766,0.48935847913353026,219.75,0.0,0.0,0.48935847913353026,,,
14,1835008,54519,712,33,52,1.8059426955878735,-0.003400684634470963,0.03699302673339844,0.00028352861866666663,0.8486393094062805,0.7769910097122192,-0.5979755846783519,0.19148032,0.004928329,38.447689056396484,0.513906228325704,203.36,0.0,0.0,0.513906228325704,,,
15,1966080,54472,616,36,56,1.7990293856710196,-0.0019263814483565511,0.05394744873046875,0.0002822615893333333,0.8667089343070984,0.8293834328651428,-0.573549672961235,0.19082496000000002,0.009507482,39.71211242675781,0.5211439794773128,198.94,0.0,0.0,0.5211439794773128,,,
16,2097152,54464,665,38,60,1.7838899046182632,-0.0009858349421847379,0.06151008605957031,0.00028099455999999994,0.8703751564025879,0.8384953141212463,-0.543129968456924,0.1901696,0.0060518994,39.95750427246094,0.5146755778334726,203.55,0.0,0.0,0.5146755778334726,,,
17,2228224,54408,727,40,64,1.8988334126770496,-0.0002858545813069213,0.07118606567382812,0.00027972753066666666,0.9350017309188843,0.8589842319488525,-0.5096833421848714,0.18951424000000003,0.00525707,38.92097091674805,0.5182468116901864,190.08,0.0,0.0,0.5182468116901864,,,
18,2359296,54048,658,43,68,2.0001169070601463,-0.001328690677837585,0.051029205322265625,0.0002784605013333333,0.9608427286148071,0.8801774978637695,-0.4923459505662322,0.18885888,0.0063728793,40.20522689819336,0.5283500318961312,195.83,0.0,0.0,0.5283500318961312,,,
19,2490368,54001,699,46,72,1.8637035619467497,-0.0011350825043336954,0.06224822998046875,0.00027719347199999997,0.9103783965110779,0.8924248814582825,-0.4751486792229116,0.18820352,0.0062171435,40.99680709838867,0.5198608241049824,194.25,0.0,0.0,0.5198608241049824,,,
,2621440,,,,76,2.163846265524626,-0.001219649497215869,0.051006317138671875,0.0002759264426666667,1.0421700477600098,0.888556957244873,-0.46003775438293815,0.18754816000000002,0.0066565773,,,,,,,0.0,177.43,42.173622131347656
20,2621440,52422,714,50,,,,,,,,,,,41.06736755371094,0.5291351108344573,193.69,0.0,0.0,0.5291351108344573,,,
21,2752512,52439,710,52,80,2.1295919604599476,0.0014677682047476992,0.07944869995117188,0.00027465941333333334,1.1518830060958862,0.9021024107933044,-0.4467414650134742,0.18689280000000003,0.014087584,38.55326843261719,0.5243609806990088,177.78,0.0,0.0,0.5243609806990088,,,
22,2883584,52399,677,55,84,2.2197715304791927,-0.00011763405564124696,0.07473945617675781,0.000273392384,1.0411152839660645,0.8999529480934143,-0.44208375457674265,0.18623744,0.013599612,40.92911911010742,0.5260681656545763,191.94,0.0,0.0,0.5260681656545763,,,
23,3014656,52547,728,57,88,1.930905967950821,-0.00046058421139605343,0.07130050659179688,0.00027212535466666666,0.9863290786743164,0.9212116003036499,-0.4291058722883463,0.18558208,0.0067918394,40.8421516418457,0.5291344458011124,188.9,0.0,0.0,0.5291344458011124,,,
24,3145728,52586,740,59,92,1.9570679813623428,-7.110712067515124e-05,0.07699394226074219,0.0002708583253333333,0.9567586183547974,0.9260386228561401,-0.4179258681833744,0.18492672000000002,0.0075098574,38.32810974121094,0.5288121454788121,172.94,0.0,0.0,0.5288121454788121,,,
25,3276800,52603,688,62,96,1.9776646010577679,-0.0012474020768422633,0.06352043151855469,0.00026959129599999997,0.9433736801147461,0.9243763089179993,-0.40806299541145563,0.18427136,0.0051328847,40.88502502441406,0.5316178581682458,186.03,0.0,0.0,0.5316178581682458,,,
26,3407872,52526,762,64,100,1.7125260662287474,0.0007399294445349369,0.09795188903808594,0.00026832426666666663,0.8705165386199951,0.9355799555778503,-0.39507566252723336,0.183616,0.007874037,39.77511978149414,0.5228443666763877,175.93,0.0,0.0,0.5228443666763877,,,
27,3538944,52569,698,67,104,1.9822105076164007,0.0001960536428669002,0.07448768615722656,0.00026705723733333334,0.9389602541923523,0.9290040731430054,-0.3905960717238486,0.18296064,0.007894335,41.82585525512695,0.5221974601153206,185.2,0.0,0.0,0.5221974601153206,,,
28,3670016,52511,741,69,108,1.9010225012898445,-0.0006334218142001191,0.06627082824707031,0.000265790208,0.8890489935874939,0.9327049255371094,-0.3810114711523056,0.18230528000000001,0.004446338,39.147857666015625,0.5286982889322072,173.19,0.0,0.0,0.5286982889322072,,,
29,3801088,52450,673,72,112,1.96310506016016,-0.0011900081408384722,0.06684684753417969,0.00026452317866666665,0.9910923838615417,0.9282910823822021,-0.37442820286378264,0.18164992000000002,0.0055528544,40.987586975097656,0.5289747399702823,183.46,0.0,0.0,0.5289747399702823,,,
,3932160,,,,116,1.7647238206118345,-0.0005207538615650265,0.07027053833007812,0.0002632561493333333,0.8205587863922119,0.9376985430717468,-0.36673633800819516,0.18099456,0.0053302813,,,,,,,0.0,172.56,41.26848602294922
30,3932160,51573,750,76,,,,,,,,,,,40.908329010009766,0.540559670781893,182.72,0.0,0.0,0.540559670781893,,,
31,4063232,51611,703,78,120,1.795108437538147,0.0017912208732013823,0.09327125549316406,0.00026198911999999997,0.8641523122787476,0.9381072521209717,-0.3610170199535787,0.1803392,0.009414658,41.568138122558594,0.5336213406388844,182.92,0.0,0.0,0.5336213406388844,,,
32,4194304,51667,727,81,124,1.7375529538840055,0.0006827746456110617,0.08769607543945312,0.0002607220906666666,0.9067801833152771,0.9396915435791016,-0.35191033873707056,0.17968384,0.009573825,39.667179107666016,0.5364511691884457,173.87,0.0,0.0,0.5364511691884457,,,
33,4325376,51679,713,83,128,1.8250174541026354,0.0020509807618509512,0.09368515014648438,0.0002594550613333333,0.9491406083106995,0.9364668130874634,-0.3479352346621454,0.17902848,0.013580177,42.88211441040039,0.5401277855695807,188.94,0.0,0.0,0.5401277855695807,,,
34,4456448,51727,727,86,132,1.6645056679844856,-0.0006304748876573285,0.07713890075683594,0.000258188032,0.7631294131278992,0.9417785406112671,-0.34338655415922403,0.17837312000000002,0.005961996,41.02793502807617,0.5364511691884457,183.12,0.0,0.0,0.5364511691884457,,,
35,4587520,51787,716,88,136,1.893504161387682,0.0008814906941552181,0.08237457275390625,0.00025692100266666665,0.9683040976524353,0.9332931041717529,-0.3368405089713633,0.17771776,0.0067128455,41.39008331298828,0.5368301262156011,180.97,0.0,0.0,0.5368301262156011,,,
36,4718592,51725,745,91,140,1.7165775429457426,-1.8341693248657975e-05,0.06670570373535156,0.0002556539733333333,0.8000257611274719,0.9409538507461548,-0.3326042820699513,0.1770624,0.007828996,41.2997932434082,0.5390836026182783,181.26,0.0,0.0,0.5390836026182783,,,
37,4849664,51651,713,93,144,1.9168741144239902,-0.0008668392310937634,0.036518096923828125,0.00025438694399999997,0.9461802244186401,0.9358006715774536,-0.32981140492483974,0.17640704000000001,0.002362513,42.544921875,0.5391927692067945,186.13,0.0,0.0,0.5391927692067945,,,
38,4980736,51580,750,96,148,1.7589966300874949,-0.0017792561466194456,0.024074554443359375,0.0002531199146666667,0.8177844882011414,0.9402435421943665,-0.32913369545713067,0.17575168000000002,0.0023124525,40.17851638793945,0.5374814814814816,172.53,0.0,0.0,0.5374814814814816,,,
39,5111808,51599,723,99,152,1.9002011138945818,-0.0013056215921096737,0.028072357177734375,0.00025185288533333334,0.9588452577590942,0.9360291957855225,-0.3256652378477156,0.17509632,0.0021406515,41.6706657409668,0.536328398476854,180.39,0.0,0.0,0.536328398476854,,,
,5242880,,,,156,1.8493814524263144,-0.0012932375502714422,0.031118392944335938,0.000250585856,0.9086908102035522,0.9386345148086548,-0.32536359736695886,0.17444096,0.0026892088,,,,,,,0.0,179.36,42.921688079833984
40,5242880,51082,727,102,,,,,,,,,,,41.153350830078125,0.544279722179768,177.7,0.0,0.0,0.544279722179768,,,
41,5373952,51161,729,105,160,1.7622279562056065,-0.0013599997328128666,0.032283782958984375,0.00024931882666666665,0.8987779021263123,0.9406879544258118,-0.3211302040144801,0.1737856,0.0027974767,41.21364212036133,0.5337770326339142,177.41,0.0,0.0,0.5337770326339142,,,
42,5505024,51184,734,107,164,1.8887495063245296,-0.0014042580678506056,0.036731719970703125,0.0002480517973333333,0.874937891960144,0.9374250173568726,-0.3208624259568751,0.17313024000000002,0.0029083928,42.10869216918945,0.542352070508292,182.36,0.0,0.0,0.542352070508292,,,
