curriculum/frontier,time/iterations,time/total_timesteps,curriculum/success_rate,time/fps,time/time_elapsed,rollout/episodes,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/value_loss,train/n_updates,train/loss,train/entropy_loss,rollout/ep_rew_mean,rollout/fill_mean_true_start,rollout/win_rate_true_start,rollout/ep_len_mean,rollout/fill_mean,rollout/success_rate,eval/mean_ep_length,eval/success_rate,eval/mean_reward
80,1,131072,nan,98227,1,0,,,,,,,,,,,,,,,,,,,
80,2,262144,nan,64037,4,0,0.00029873297066666663,-0.16722393035888672,-0.0038041981806600234,0.002994537353515625,0.19934464000000002,0.0030631875,0.08296063099987805,4,0.015164989978075027,-1.636842980980873,,,,,,,,,
80,3,393216,nan,60177,6,0,0.00029746594133333334,0.051043033599853516,-0.011492914862174075,0.06412315368652344,0.19868928000000002,0.009693122,0.11941625305917114,8,0.02028203383088112,-1.5473285000771284,,,,,,,,,
80,4,524288,nan,57742,9,5,0.000296198912,0.03507685661315918,-0.019079862024227623,0.16900062561035156,0.19803392,0.011576953,0.2006061978172511,12,0.05677125230431557,-1.454897940158844,4.8509979248046875,0.12757201646090535,0.0,150.0,0.45432098765432094,0.0,,,
80,5,655360,nan,56357,11,14,0.00029493188266666666,0.043845295906066895,-0.02036010197844007,0.2006988525390625,0.19737856,0.012998758,0.2855789652094245,16,0.09993654489517212,-1.3550564590841532,6.8635735511779785,0.1700960219478738,0.0,190.05263157894737,0.44356261022927684,0.0,,,
80,6,786432,nan,55552,14,107,0.0002936648533333333,0.10386824607849121,-0.019966741652751807,0.21030616760253906,0.19672320000000001,0.014637887,0.3859607526101172,20,0.14188525080680847,-1.2464274670928717,7.515502452850342,0.19037037037037038,0.0,185.48,0.5910926502826814,0.07,,,
80,7,917504,nan,55007,16,410,0.00029239782399999997,0.163432776927948,-0.016482140908919973,0.19475746154785156,0.19606784000000002,0.017260024,0.5539691285230219,24,0.23486360907554626,-1.1268489994108677,8.911953926086426,0.23796115803913073,0.0,189.04,0.6519421860885276,0.07,,,
80,8,1048576,0.14285714285714285,54687,19,1047,0.00029113079466666663,0.24038755893707275,-0.011453633816927322,0.14268875122070312,0.19541248,0.017747749,0.8863822864368558,28,0.3778012692928314,-0.9951456412672997,8.660494804382324,0.316927006582179,0.0,150.51,0.7248104519674083,0.09,,,
80,9,1179648,0.1396588486140725,53938,21,1909,0.0002898637653333333,0.31672823429107666,-0.00693637456788565,0.11829566955566406,0.19475712,0.014494397,1.415692362934351,32,0.6229949593544006,-0.8302279254421592,12.202713966369629,0.408982465893035,0.0,178.3,0.8017836240291277,0.12,,,
,,1310720,,,,,0.000288596736,0.45630204677581787,2.5425169951631688e-05,0.09104156494140625,0.19410176,0.008328676,2.194342290982604,36,0.9899609088897705,-0.699500179849565,,,,,,,177.71,0.0,41.60334014892578
