time/iterations,curriculum/success_rate,rollout/episodes,curriculum/frontier,time/fps,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/clip_range,train/explained_variance,train/value_loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/loss,rollout/fill_mean,rollout/success_rate,rollout/win_rate_true_start,rollout/ep_rew_mean,rollout/fill_mean_true_start,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward,eval/success_rate
1,nan,0,255,65062,262144,4,,,,,,,,,,,,,,,,,,,
2,nan,0,255,42406,524288,12,0.0017423629760742188,0.199606784,-0.372799277305603,0.024553485767683014,0.0024690016,0.00029923978239999996,-0.0023316176448133774,-1.7883635200560093,4,-0.012077860534191132,,,,,,,,,
3,nan,0,255,38525,786432,20,0.057464599609375,0.199213568,0.08090543746948242,0.026269061636412516,0.008443257,0.0002984795648,-0.007229949935208424,-1.7507355473935604,8,-0.015147265046834946,,,,,,,,,
4,nan,0,255,36760,1048576,28,0.12702369689941406,0.198820352,0.06195157766342163,0.04391374089755118,0.01150164,0.0002977193472,-0.011402716329030227,-1.6978161549195647,12,-0.008440591394901276,,,,,,,,,
5,nan,0,255,35766,1310720,36,0.17487525939941406,0.198427136,0.056710898876190186,0.08448584709549323,0.012180097,0.00029695912959999996,-0.014850931876935647,-1.6226221323013306,16,0.011447478085756302,,,,,,,,,
6,nan,1,255,35110,1572864,44,0.19594097137451172,0.19803392,0.07179635763168335,0.12788022676249966,0.012978185,0.000296198912,-0.01567918953151093,-1.52549721673131,20,0.0301198810338974,0.03515625,0.0,0.0,6.625001430511475,0.03515625,376.0,,,
7,nan,1,255,34584,1835008,53,0.2051372528076172,0.19764070400000003,0.114249587059021,0.17108562088105828,0.014029227,0.0002954386944,-0.01497724729051697,-1.4467546455562115,24,0.05324208736419678,0.04296875,0.0,0.0,7.593497276306152,0.04296875,407.5,,,
,,,,,2097152,,0.21530723571777344,0.197247488,0.18345171213150024,0.22491818782873452,0.015340744,0.00029467847679999997,-0.013811801249175915,-1.3675280530005693,28,0.08157536387443542,,,,,,,1481.27,36.739864349365234,0.0
8,nan,13,255,26151,2097152,80,,,,,,,,,,,0.6168870192307693,0.13333333333333333,0.0,5.981463432312012,0.0484375,219.53333333333333,,,
9,nan,42,255,26699,2359296,88,0.2209453582763672,0.196854272,0.24896705150604248,0.271558903506957,0.016046107,0.00029391825919999995,-0.011759847373468801,-1.3031814759597182,32,0.10689669847488403,0.5367373511904762,0.10526315789473684,0.0,6.746096611022949,0.054296875,254.89473684210526,,,
10,nan,81,255,27091,2621440,96,0.22468280792236328,0.19646105600000002,0.31278663873672485,0.3228669429663569,0.016650787,0.0002931580416,-0.010588964273665624,-1.2358633102849126,36,0.13236726820468903,0.6479552469135802,0.13,0.0,6.994288921356201,0.06546336206896551,226.7,,,
11,nan,172,255,27440,2883584,105,0.22525405883789062,0.19606784000000002,0.35559386014938354,0.37626692350022495,0.017186632,0.00029239782399999997,-0.009099652965232963,-1.1607881505042315,40,0.170006662607193,0.6486191860465116,0.17,0.0,9.455734252929688,0.07955109126984126,265.26,,,
12,nan,237,255,27722,3145728,113,0.2172555923461914,0.19567462400000002,0.388469934463501,0.46944832848384976,0.018049043,0.0002916376064,-0.0069626012145818095,-1.0961895789951086,44,0.1889943927526474,0.6534974947257384,0.21,0.0,12.318765640258789,0.09294181034482758,322.24,,,
13,0.2921146953405018,333,255,27996,3407872,121,0.21189403533935547,0.19528140800000002,0.4337637424468994,0.5523156537674367,0.01806173,0.00029087738879999994,-0.00534823973885068,-1.0245155384764075,48,0.2288845032453537,0.6746082019519519,0.18,0.0,10.107131004333496,0.10940867456896551,243.88,,,
14,0.30479896238651105,408,255,28190,3670016,130,0.18153667449951172,0.19488819200000002,0.47353607416152954,0.620021594222635,0.017963883,0.0002901171712,-0.005549411322135711,-0.9480038853362203,52,0.26156723499298096,0.691616881127451,0.2,0.0,14.167964935302734,0.1299327098540146,323.06,,,
15,0.2927927927927928,581,255,28380,3932160,138,0.1976480484008789,0.194494976,0.5476913452148438,0.6600329256616533,0.017230129,0.00028935695359999996,-0.0034034423260891344,-0.8719467208720744,56,0.2757527828216553,0.7018273988812392,0.22,0.0,17.22866439819336,0.15169608160621761,362.38,,,
,,,,,4194304,,0.1808786392211914,0.19410176,0.6073383092880249,0.7348438827320933,0.016396115,0.000288596736,-0.0023448409692718997,-0.7958544725552201,60,0.3218620717525482,,,,,,,657.92,86.15332794189453,0.0
16,0.29939516129032256,715,255,27408,4194304,153,,,,,,,,,,,0.726371284965035,0.2,0.0,17.117992401123047,0.17721762892376683,333.05,,,
17,0.28169014084507044,854,255,27614,4456448,161,0.14722824096679688,0.193708544,0.6879057884216309,0.852397033944726,0.015456911,0.0002878365184,-0.003462919107732887,-0.7286588600836694,64,0.35477012395858765,0.7776593603629977,0.24,0.0,16.817344665527344,0.2018706995412844,283.7,,,
18,0.2766830870279146,984,255,27793,4718592,169,0.11070060729980469,0.193315328,0.742662787437439,0.9434970039874315,0.008387707,0.00028707630079999997,-0.0035465586552163586,-0.6729418896138668,68,0.42645150423049927,0.7732231326219512,0.16,0.0,20.532032012939453,0.22650375939849623,369.03,,,
19,0.2619217081850534,1222,255,27970,4980736,178,0.10474395751953125,0.192922112,0.787804365158081,1.0243348474614322,0.007890297,0.00028631608319999995,-0.002579228367721953,-0.6285352660343051,72,0.46439555287361145,0.7887811988543372,0.16,0.0,19.5207462310791,0.25457166798107256,320.32,,,
20,0.28388746803069054,1446,255,28059,5242880,186,0.08651924133300781,0.192528896,0.830217182636261,1.1238752189092338,0.0074719926,0.0002855558656,-0.0030130608392937575,-0.5905086379498243,76,0.5568171739578247,0.7928579918741355,0.2,0.0,22.5654354095459,0.28223167539267013,355.64,,,
21,0.27928416485900215,1744,255,28170,5505024,195,0.0890045166015625,0.19213568000000003,0.8479847311973572,1.2232455192133784,0.009764081,0.00028479564799999997,-0.0014947710469641606,-0.5630125552415848,80,0.6038441061973572,0.8226575938933486,0.22,0.0,20.447616577148438,0.305986328125,293.45,,,
22,0.2739463601532567,2079,255,28774,5767168,200,0.1024017333984375,0.191742464,0.8649911284446716,1.5338373084863026,0.010672932,0.00028403543039999996,0.0063051756005734205,-0.5373122567931811,81,0.6860171556472778,0.8233939093314093,0.19,0.0,24.452634811401367,0.3307503818737271,338.45,,,
