time/fps,rollout/episodes,time/time_elapsed,time/total_timesteps,time/iterations,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/n_updates,train/explained_variance,train/entropy_loss,train/clip_range,train/loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate,rollout/ep_rew_mean,rollout/win_rate_true_start,rollout/fill_mean_true_start,rollout/ep_len_mean,rollout/fill_mean,rollout/success_rate
67356,0,3,262144,1,,,,,,,,,,,,,,,,,,,
42879,0,12,524288,2,-1.5126556718314532e-05,0.03709101246204227,9.882035200000001e-05,0.000244140625,5.351929e-06,4,-0.2793527841567993,-0.0036577250612026546,0.09934464000000001,0.01633717492222786,,,,,,,,,
39052,0,20,786432,3,-7.530177754233591e-06,0.04292794349021278,9.764070400000001e-05,0.00018978118896484375,3.6129823e-06,8,0.030440449714660645,-0.003017430490217521,0.09868928,0.021094342693686485,,,,,,,,,
37281,0,28,1048576,4,-8.298447028209921e-06,0.048875364009290934,9.6461056e-05,0.00018405914306640625,5.1255283e-06,12,0.05327993631362915,-0.002386323218161124,0.09803392000000001,0.025045687332749367,,,,,,,,,
36574,0,35,1310720,5,-7.7278632488742e-06,0.04880151528050192,9.528140800000001e-05,0.00013637542724609375,4.8810266e-06,16,0.16136908531188965,-0.0019607157528298558,0.09737856,0.022093769162893295,,,,,,,,,
35920,0,43,1572864,6,-6.8472381826722994e-06,0.032991404048516415,9.410176e-05,0.00014781951904296875,5.4556344e-06,20,0.3115882873535156,-0.001829891020861396,0.09672320000000001,0.01608366146683693,,,,,,,,,
35452,0,51,1835008,7,-5.237006007519085e-06,0.033958386004087515,9.2922112e-05,0.0001373291015625,4.2728657e-06,24,0.3884392976760864,-0.0018916202743639587,0.09606784,0.017181750386953354,,,,,,,,,
,,,2097152,,-7.348760846070945e-06,0.031125769339269027,9.1742464e-05,0.000164031982421875,5.1751313e-06,28,0.46222376823425293,-0.0018671764173632255,0.09541248000000001,0.015416854061186314,16464.14,248.51919555664062,1.0,,,,,,
14363,0,146,2097152,8,,,,,,,,,,,,,,,,,,,
15329,0,153,2359296,9,-6.016790393914562e-06,0.029278911009896547,9.056281600000001e-05,0.00012111663818359375,1.1913982e-05,32,0.49529576301574707,-0.0018973793585246312,0.09475712,0.015357190743088722,,,,,,,,,
16202,0,161,2621440,10,-6.583190952369478e-06,0.02896266350580845,8.9383168e-05,0.00015735626220703125,3.152069e-06,36,0.510651707649231,-0.0017535336510263733,0.09410176,0.014218159951269627,,,,,,,,,
16988,0,169,2883584,11,-4.51860705652507e-06,0.02881784782221075,8.820352e-05,9.918212890625e-05,3.976088e-06,40,0.5157575011253357,-0.0017143668483186048,0.09344640000000001,0.013633159920573235,,,,,,,,,
17716,0,177,3145728,12,-7.265001386258518e-06,0.029404700588202104,8.702387200000001e-05,0.000148773193359375,4.6910764e-06,44,0.5042999386787415,-0.00144372115846636,0.09279104,0.014372739009559155,,,,,,,,,
18372,0,185,3407872,13,-2.0664269868575502e-06,0.029409448063233867,8.5844224e-05,0.0001583099365234375,3.749119e-06,48,0.5130690932273865,-0.00137842117328546,0.09213568,0.013979492709040642,,,,,,,,,
18972,0,193,3670016,14,-8.105421329673845e-06,0.028239328137715347,8.4664576e-05,0.00011730194091796875,1.7432449e-05,52,0.5228073596954346,-0.0013875191489205463,0.09148032,0.01449292991310358,,,,,,,,,
